id,name,rating,zipcode,prices
0,The Parish,4.5,85704,$$
1,Tito & Pep,4.5,85712,$$
2,Commoner & Co.,4.0,85750,$$
3,Snooze A M Eatery,4.5,85716,?
4,Noodleholics,4.5,85716,$$
5,Street- Taco and Beer Co.,4.5,85701,$
6,Culinary Dropout,4.0,85716,$$
7,Wildflower,4.0,85704,$$
8,Vivace,4.0,85718,$$$
9,Postino Grant,4.5,85716,$$
10,Holy Smokin Butts BBQ,4.5,85710,$$
11,eHotPot,4.5,85705,?
12,North Italia,4.0,85718,$$
13,Churrasco de Brasil,4.5,85705,$$$
14,Zayna Mediterranean,4.5,85712,$$
15,Charro Steak,4.0,85701,$$$
16,Silver Saddle Steakhouse,4.0,85713,$$
17,Contigo Latin Kitchen,4.0,85718,$$
18,Pirata Luchi,4.0,85711,?
19,Chef Alisah's,4.5,85704,$$
20,Stackd on Congress,4.0,85701,?
21,El Chinito Gordo,4.5,85705,$$
22,Serial Grillers,4.5,85712,$$
23,Firebirds Wood Fired Grill,4.0,85718,$$
24,Union Public House,3.5,85718,$$
25,Tumerico,5.0,85716,$$
26,Kimchi Time,4.0,85716,$$
27,Wild Garlic Grill,3.5,85718,$$
28,Opa's Best Greek American Cuisine,4.5,85711,$$
29,HUB Restaurant & Ice Creamery,4.0,85701,$$
30,Istanbul Mediterranean Cuisine & Bar,4.0,85716,$$
31,Inca's Peruvian Cuisine,4.0,85750,$$
32,Raijin Ramen,4.0,85716,$$
33,Feast,4.0,85716,$$
34,Mi Nidito Restaurant,4.0,85713,$$
35,The Drunken Chicken,4.0,85705,$$
36,Indian Twist,4.5,85712,$$
37,Solid Grindz,4.5,85711,$
38,Charro del Rey,4.0,85701,$$
39,Polish Cottage,4.0,85711,$$
40,Divine Bovine Burgers,4.5,85711,$$
41,Chef Wang,4.0,85705,$$
42,Angry Crab Shack & BBQ,3.5,85745,$$
43,Potwhale,4.5,85719,$$
44,Fiamme Pizza,4.5,85718,$$
45,Copper Rock Craft Eatery,4.0,85711,$$
46,Daisy Mae's Steakhouse,4.0,85745,$$
47,Ikkyu,4.5,85704,$$
48,Le Rendez-vous,4.0,85716,$$$
49,Fleming’s Prime Steakhouse & Wine Bar,4.5,85718,$$$
50,The Boxyard,4.0,85705,$$
51,Pho Ngan,4.5,85712,?
52,7 Ounce Korean Steakhouse,3.5,85712,$$
53,Cafe Poca Cosa,4.0,85701,$$
54,JPS Seafood Market & Restaurant,4.5,85706,$$
55,Barrio Brewing,4.0,85719,$$
56,Downtown Kitchen + Cocktails,4.0,85701,$$$
57,Dante's Fire,4.0,85716,$$
58,Momo's,4.5,85719,?
59,Rollies Mexican Patio,4.5,85714,$
60,Graze Premium Burgers,4.5,85716,$$
61,The Quesadillas,4.5,85712,$
62,The Blind Pig,4.0,85719,?
63,El Rustico,4.5,85705,?
64,Scordato's Pizzeria,4.0,85704,$$
65,Smokey Mo,4.5,85719,$$
66,Queen Sheba,4.5,85712,$
67,Charro Vida,4.0,85704,$$
68,American Eat Company,4.0,85713,$$
69,Kingfisher Bar & Grill,4.0,85716,$$
70,Kens Hardwood Barbecue,4.5,85711,$$
71,KOGI Korean BBQ,4.0,85712,$$
72,Jun Dynasty Chinese Restaurant,4.0,85716,$$
73,Lovin' Spoonfuls Vegan Restaurant,4.0,85719,$$
74,Reilly Craft Pizza & Drink,4.0,85701,$$
75,Selena's Salvadorian,4.5,85719,$
76,Zinburger,4.0,85718,$$
77,Kazoku,4.5,85712,$$
78,The Canyon's Crown,4.0,85715,$$
79,Agustin Kitchen,3.5,85745,$$
80,Villa Peru,4.0,85718,$$
81,Renee's Organic Oven,4.5,85715,$$
82,Bai Thong,4.0,85712,$$
83,Bernie's Bagels,4.5,85713,?
84,El Charro Cafe,3.5,85701,$$
85,Trident Grill,4.0,85719,$$
86,Cheddar's Scratch Kitchen,3.5,85716,$$
87,Monkey Burger,4.0,85711,$$
88,Sentinel Peak Brewing Company,4.0,85712,$$
89,Alexandria’s Pearl,4.0,85705,$$
90,Posto Sano Foods,4.5,85718,$$
91,Ten55 Brewing Company,4.0,85701,$$
92,Blanco Tacos + Tequila,3.5,85718,$$
93,Toro Loco,4.0,85710,$
94,BBQ Rush Restaurant,4.0,85706,$$
95,Prep & Pastry,4.5,85719,$$
96,Urban Pita,4.5,85701,$$
97,ATL Wings - Tucson,4.0,85705,?
98,Kukai,4.0,85745,$$
99,Mian Sichuan,4.5,85705,$$
100,Calle Tepa,4.0,85711,$
101,Reforma Modern Mexican. Mezcal + Tequila,3.5,85718,$$
102,Shish Kebab House of Tucson,4.0,85711,$$
103,Miss Saigon,4.0,85719,$
104,The Cheesecake Factory,3.5,85705,$$
105,Jewel’s Noodle Kitchen,4.5,85712,$
106,Senae Thai Bistro,4.0,85701,$$
107,Pizza Luna,4.5,85712,$$
108,Asian Sofrito,4.5,85719,$$
109,Zemam's,4.5,85716,$$
110,The Neighborhood,4.0,85711,$$
111,Mariscos Chihuahua,4.5,85745,$$
112,Alafia West African Cuisine,4.5,85711,$$
113,Diablo Burger,4.0,85701,$$
114,Com Tam Thuan Kieu,4.0,85704,$$
115,Toss-Fried Chicken and Ramen,4.0,85711,?
116,Sullivan's Steakhouse,3.5,85718,$$$
117,Korea House,4.0,85712,$$
118,Zinburger,4.0,85715,$$
119,Ceres,4.5,85701,?
120,Tamarind,4.0,85741,$$
121,Pappoule's,4.0,85741,$
122,HiFalutin,4.0,85704,$$
123,Jonathan's Cork,4.0,85715,$$$
124,El Güero Canelo,4.0,85705,$
125,Lindy's On 4th,3.5,85705,$$
126,Kung Fu Noodle,4.0,85719,$$
127,Vero Amore - Swan,4.0,85712,$$
128,O Sushi Restaurant,4.5,85712,$$
129,Trident Grill II,4.0,85712,$$
130,JA Ramen Curry,4.0,85719,$$
131,Dolce Vita,4.0,85719,$$
132,Sher-e-Punjab,4.0,85719,$$
133,The Flying V Bar & Grill,4.0,85750,$$$
134,Veg Box,5.0,85716,?
135,El Antojo Poblano,5.0,85745,$
136,El Charro Cafe,3.5,85750,$$
137,Za’atar Mediterranean Restaurant & Bakery,4.0,85716,$$
138,Boca Tacos Y Tequila,3.5,85705,$$
139,Nick's Sari-Sari Store,4.0,85711,$
140,Taqueria Juanitos,4.5,85705,$
141,D's Island Grill JA,4.5,85716,$$
142,Guadalajara Original Grill,4.0,85719,$$
143,Ha Long Bay,4.0,85715,$$
144,Bison Witches Bar & Deli,4.0,85705,$$
145,"Brother John's Beer, Bourbon & BBQ",3.0,85705,$$
146,Wings & Rice,4.0,85712,$$
147,Seis Kitchen,4.0,85718,$$
148,Bacio Italiano,4.0,85719,$$
149,Restaurante y Cenaduría El Quino,5.0,85714,?
150,El Berraco,4.0,85719,$$
151,Fatman Kitchen,4.0,85719,$$
152,Ermanos Craft Beer & Wine Bar,4.0,85705,$$
153,Two Boots BBQ Shop,4.0,85713,?
154,Anello,4.5,85705,$$
155,Yard House,3.5,85711,$$
156,C.I. Chu's Mongolian Barbeque,3.5,85711,$$
157,Obon Sushi Bar Ramen,4.0,85701,$$
158,China Pasta House,4.0,85719,$
159,Trattoria Pina,4.0,85718,$$
160,El Guero Canelo,4.0,85706,$
161,Primo with Patio Dining,3.5,85745,$$$
162,Caffe Torino,4.0,85750,$$
163,The Tasteful Kitchen,4.5,85705,$$
164,Caffe Milano,4.0,85701,$$
165,Beaut Burger,4.0,85745,$$
166,Ginza Sushi,4.5,85750,$$$
167,P.F. Chang's,3.5,85718,$$
168,Time Market,4.0,85705,$$
169,Elliott's On Congress,4.0,85701,$$
170,Roma Imports,4.5,85719,$
171,Rocco's Little Chicago,4.0,85716,$$
172,Serial Grillers,4.0,85704,$$
173,Pho Can Tho,4.0,85719,$$
174,Taqueria El Pueblito,4.5,85719,$
175,Frankie's South Philadelphia Cheesesteak,4.5,85719,$$
176,Tutuli's Sonoran Hotdogs,5.0,85757,?
177,CeeDee Jamaican Kitchen,3.5,85712,$$
178,Tumerico On 4th Ave,4.5,85705,?
179,Seis Kitchen,4.5,85745,$$
180,Cocteleria La Palma Mariscos Y Mas,5.0,85701,$
181,Barista Del Barrio,5.0,85745,$
182,Truland Burgers & Greens,4.0,85704,$$
183,The Horseshoe Grill,3.5,85710,$$
184,Samurai,4.5,85705,$
185,the Glowbal,4.0,85712,$$
186,Texas Roadhouse,4.0,85711,$$
187,La Botana Tacos,4.0,85719,$$
188,Janos At The Temple,4.5,85701,?
189,Bombolé,4.5,85701,?
190,Dickman's Meat and Deli,4.5,85704,$$
191,Fini's Landing,3.5,85718,$$
192,Tavolino Ristorante Italiano,3.5,85718,$$
